ID,Temp,Growth,Geno,Pop
NB4-A,18,0.97599406,NB4,N
NB4-B,18,NA,NB4,N
NB4-C,18,0.905640403,NB4,N
NB6-A,18,NA,NB6,N
NB6-B,18,1.068426024,NB6,N
NB6-C,18,1.052878809,NB6,N
NB7-A,18,NA,NB7,N
NB7-B,18,1.128280146,NB7,N
NB7-C,18,0.95336679,NB7,N
RA4-A,18,1.310261391,RA4,Mar
RA4-B,18,1.382807061,RA4,Mar
RA4-C,18,1.31731963,RA4,Mar
RA5-A,18,1.381227876,RA5,Mar
RA5-B,18,1.394862055,RA5,Mar
RA5-C,18,1.246131066,RA5,Mar
RD4-A,18,0.751689102,RD4,Mar
RD4-B,18,NA,RD4,Mar
RD4-C,18,1.211573701,RD4,Mar
YE5-A,18,1.230213635,YE5,May
YE5-B,18,0.991100588,YE5,May
YE5-C,18,1.039386673,YE5,May
