#OTU ID,OMA1,OMA10,OMA11,OMA12,OMA13,OMA14,OMA15,OMA16,OMA17,OMA18,OMA19,OMA2,OMA20,OMA21,OMA22,OMA23,OMA24,OMA25,OMA26,OMA27,OMA28,OMA29,OMA3,OMA30,OMA31,OMA32,OMA33,OMA34,OMA35,OMA36,OMA37,OMA38,OMA39,OMA4,OMA40,OMA41,OMA42,OMA43,OMA44,OMA45,OMA46,OMA47,OMA48,OMA5,OMA6,OMA7,OMA8,OMA9,WGA10,WGA100,WGA106,WGA108,WGA111,WGA12,WGA13,WGA132,WGA133,WGA137,WGA139,WGA143,WGA145,WGA146,WGA15,WGA18,WGA19,WGA20,WGA23,WGA25,WGA26,WGA27,WGA29,WGA3,WGA32,WGA33,WGA34,WGA35,WGA39,WGA4,WGA40,WGA41,WGA42,WGA45,WGA46,WGA48,WGA5,WGA50,WGA53,WGA54,WGA55,WGA56,WGA7,WGA97,WGA98,WGA99
Otu2,2082,6020,3943,6822,2448,6213,2535,2775,3154,1690,2069,1657,1.08E+04,5462,2366,6819,6789,5900,4055,1623,3978,7648,2229,7224,5125,4159,4675,5963,3879,5066,7917,3404,2261,2415,5852,1.36E+04,1.54E+04,624,8247,5113,3626,17,15,1001,1445,1913,1.41E+04,1.53E+04,6260,418,1406,168,3763,3119,765,126,212,380,19,0,15,1888,5,3329,1253,833,2,2173,115,5863,1.16E+04,1.51E+04,20,420,9806,239,6563,3122,878,84,6245,540,2763,1803,3719,4511,2490,797,2003,1,14,2,2.08E+04,1122
Otu6,4892,395,872,689,400,273,167,529,166,66,438,3693,1990,803,867,3707,4092,3040,771,399,1455,2932,4361,2251,2370,2149,2537,1138,1164,1126,1711,1.12E+04,3906,4011,1.10E+04,795,3590,95,2047,1770,607,2.56E+04,6166,194,207,256,1012,1019,2895,661,261,1637,384,245,3,52,3741,422,28,7,84,2462,0,279,431,636,0,130,38,1403,17,1468,4,77,217,2986,1735,59,73,7513,8880,1365,280,2241,380,1769,128,7649,1935,0,4,1.37E+04,863,1.63E+04
Otu4,95,0,86,127,7,7651,2453,1.05E+04,753,227,703,1280,269,6096,1.63E+04,1,12,5,235,150,107,9,1309,42,10,11,11,14,17,9,58,714,202,1509,1180,79,200,14,72,82,50,3,1,0,0,1,0,17,1.99E+04,0,488,0,0,864,2206,0,0,0,0,0,0,44,4,2.62E+04,1.01E+04,4093,8609,820,558,1.07E+04,1303,2.39E+04,0,1639,0,0,6,6962,313,1,2,965,1.07E+04,1,4291,1,6409,2417,4638,1,4,0,0,0
Otu7,112,104,63,44,6,3767,6242,1011,8086,937,9056,181,43,1504,2410,539,191,583,37,18,15,24,104,35,12,6,13,20,20,9,43,115,28,198,209,70,52,4,24,18,12,29,44,406,797,147,420,226,6240,30,0,0,0,1951,1684,0,0,0,0,0,0,289,3,176,0,1,5,3437,0,2918,1,4.30E+04,0,0,0,0,0,1.77E+04,0,0,0,0,0,0,8807,0,0,0,0,0,48,0,0,0
Otu5,1828,1238,503,617,466,446,78,448,1063,173,638,3279,1252,597,243,3135,2867,6006,785,289,1180,800,2134,1152,534,156,679,487,417,657,921,2522,7382,5267,3359,2982,3194,140,1208,1015,898,1,2,227,295,481,1177,2464,178,165,35,224,291,2630,1660,113,0,0,0,15,0,66,0,0,68,47,56,351,16,2192,246,4995,0,227,0,1,0,1591,108,0,134,183,1.05E+04,838,6397,3421,1086,2777,1301,5,57,314,5538,2068
Otu435,1111,505,1355,1149,349,836,758,1089,1215,464,1659,915,1616,1491,684,1052,888,604,964,424,1338,4092,886,2685,3301,3196,3646,1357,1795,1577,3714,1209,550,912,2117,681,1677,56,1312,729,373,19,12,359,434,128,1901,1232,2675,457,1.43E+04,1,6251,830,427,61,48,132,0,57,10,1369,2,2149,10,415,1910,22,28,920,1416,1088,403,107,208,442,0,1571,0,4,1669,1472,8,881,652,1819,1,19,19,4,1,4265,4258,253
Otu877,80,320,65,84,191,264,306,674,427,186,198,59,1344,432,403,204,169,109,144,67,448,112,54,137,56,33,30,180,76,162,86,59,76,121,277,162,684,25,120,118,135,4,3,8997,6189,2563,151,473,0,5,4,2,5.30E+04,0,7,1,0,7436,0,1,0,1,0,3,0,214,0,30,0,94,0,2097,0,0,0,0,0,191,0,0,0,262,0,0,158,0,0,0,0,0,0,6,8,12
Otu12,2372,91,551,318,53,45,8,29,28,9,9,2194,53,37,15,355,347,1297,319,275,70,200,2674,152,362,301,341,72,275,184,294,1217,568,2455,2109,48,180,8,999,523,166,1,1,1,0,0,260,96,0,7194,6,1,1,0,0,21,28,0,4,0,3,0,0,0,0,0,0,0,0,0,0,838,40,4357,302,1,3775,5,104,1027,0,2275,1,1085,2,0,2082,220,876,0,0,910,1,2.18E+04
Otu10,454,161,574,627,230,159,762,98,121,66,88,400,708,365,127,201,276,139,742,196,560,1773,389,1956,976,656,908,791,1074,631,2160,842,1413,706,2822,4654,2753,350,1645,623,328,10,12,80,78,91,157,228,263,291,1,0,1,0,20,0,5,0,0,0,0,245,0,1,17,0,0,0,0,414,3,2,0,2,3,2,2328,45,0,13,1.43E+04,0,1655,309,12,6044,218,807,0,2,0,0,147,5676
Otu11,269,686,127,77,89,96,1687,1272,612,612,206,341,475,571,943,528,1080,324,31,57,402,145,296,21,275,107,10,66,494,52,12,278,192,176,1181,140,286,20,157,90,32,1,1,0,0,0,1448,1038,2268,1877,1,0,1,3631,823,2,0,0,0,0,0,0,4,5606,0,303,1,16,23,558,0,5884,1,1,6278,1,0,110,839,2,1,0,0,0,402,0,0,0,0,0,1,1.07E+04,1,4
