#OTU ID,Kingdom,phyla,class,order,family ,genus,strain
Otu1011,Bacteria,Acidobacteria,Acidobacteria_Gp10,Gp10,Gp10,Gp10,Otu1011
Otu1117,Bacteria,Acidobacteria,Acidobacteria_Gp10,Gp10,Gp10,Gp10,Otu1117
Otu1229,Bacteria,Acidobacteria,Acidobacteria_Gp10,Gp10,Gp10,Gp10,Otu1229
Otu1287,Bacteria,Acidobacteria,Acidobacteria_Gp10,Gp10,Gp10,Gp10,Otu1287
Otu1550,Bacteria,Acidobacteria,Acidobacteria_Gp10,Gp10,Gp10,Gp10,Otu1550
Otu1565,Bacteria,Acidobacteria,Acidobacteria_Gp10,Gp10,Gp10,Gp10,Otu1565
Otu1870,Bacteria,Acidobacteria,Acidobacteria_Gp10,Gp10,Gp10,Gp10,Otu1870
Otu1888,Bacteria,Acidobacteria,Acidobacteria_Gp10,Gp10,Gp10,Gp10,Otu1888
Otu2060,Bacteria,Acidobacteria,Acidobacteria_Gp10,Gp10,Gp10,Gp10,Otu2060
Otu2136,Bacteria,Acidobacteria,Acidobacteria_Gp10,Gp10,Gp10,Gp10,Otu2136
Otu233,Bacteria,Acidobacteria,Acidobacteria_Gp10,Gp10,Gp10,Gp10,Otu233
Otu779,Bacteria,Acidobacteria,Acidobacteria_Gp10,Gp10,Gp10,Gp10,Otu779
Otu794,Bacteria,Acidobacteria,Acidobacteria_Gp10,Gp10,Gp10,Gp10,Otu794
Otu990,Bacteria,Acidobacteria,Acidobacteria_Gp10,Gp10,Gp10,Gp10,Otu990
Otu1007,Bacteria,Acidobacteria,Acidobacteria_Gp22,Gp22,Gp22,Gp22,Otu1007
Otu1383,Bacteria,Acidobacteria,Acidobacteria_Gp22,Gp22,Gp22,Gp22,Otu1383
Otu1554,Bacteria,Acidobacteria,Acidobacteria_Gp22,Gp22,Gp22,Gp22,Otu1554
Otu1573,Bacteria,Acidobacteria,Acidobacteria_Gp22,Gp22,Gp22,Gp22,Otu1573
Otu2090,Bacteria,Acidobacteria,Acidobacteria_Gp22,Gp22,Gp22,Gp22,Otu2090
Otu1139,Bacteria,Acidobacteria,Acidobacteria_Gp23,Thermoanaerobaculum,Thermoanaerobaculum,Thermoanaerobaculum,Otu1139
Otu1525,Bacteria,Acidobacteria,Acidobacteria_Gp23,Thermoanaerobaculum,Thermoanaerobaculum,Thermoanaerobaculum,Otu1525
Otu1148,Bacteria,Acidobacteria,Acidobacteria_Gp26,Gp26,Gp26,Gp26,Otu1148
Otu1237,Bacteria,Acidobacteria,Acidobacteria_Gp3,Bryobacter,Bryobacter,Bryobacter,Otu1237
Otu1668,Bacteria,Acidobacteria,Acidobacteria_Gp3,Bryobacter,Bryobacter,Bryobacter,Otu1668
Otu2023,Bacteria,Acidobacteria,Acidobacteria_Gp3,Bryobacter,Bryobacter,Bryobacter,Otu2023
Otu2025,Bacteria,Acidobacteria,Acidobacteria_Gp3,Bryobacter,Bryobacter,Bryobacter,Otu2025
Otu1729,Bacteria,Acidobacteria,Acidobacteria_Gp3,Gp3,Gp3,Gp3,Otu1729
Otu571,Bacteria,Acidobacteria,Acidobacteria_Gp3,Paludibaculum,Paludibaculum,Paludibaculum,Otu571
Otu1529,Bacteria,Acidobacteria,Acidobacteria_Gp4,Aridibacter,Aridibacter,Aridibacter,Otu1529
Otu2002,Bacteria,Acidobacteria,Acidobacteria_Gp4,Blastocatella,Blastocatella,Blastocatella,Otu2002
Otu2050,Bacteria,Acidobacteria,Acidobacteria_Gp4,Blastocatella,Blastocatella,Blastocatella,Otu2050
Otu1658,Bacteria,Acidobacteria,Acidobacteria_Gp4,Pyrinomonas,Pyrinomonas,Pyrinomonas,Otu1658
Otu1302,Bacteria,Acidobacteria,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacter,Otu1302
Otu1496,Bacteria,Acidobacteria,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacter,Otu1496
Otu1969,Bacteria,Acidobacteria,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacter,Otu1969
Otu2110,Bacteria,Acidobacteria,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacter,Otu2110
Otu756,Bacteria,Acidobacteria,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacter,Otu756
Otu1005,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,Ferrimicrobium,Otu1005
Otu249,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,Ferrimicrobium,Otu249
Otu253,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,Ilumatobacter,Otu253
Otu544,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,Ilumatobacter,Otu544
Otu660,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobineae_incertae_sedis,Aciditerrimonas,Otu660
Otu1217,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Iamiaceae,Aquihabitans,Otu1217
Otu507,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Iamiaceae,Aquihabitans,Otu507
Otu1458,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Iamiaceae,Iamia,Otu1458
Otu2232,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Iamiaceae,Iamia,Otu2232
Otu757,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Iamiaceae,Iamia,Otu757
Otu230,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Acidothermaceae,Acidothermus,Otu230
Otu676,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Bogoriellaceae,Oceanitalea,Otu676
Otu519,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Sediminihabitans,Otu519
Otu169,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Otu169
Otu241,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Otu241
Otu898,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Otu898
Otu1494,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cryptosporangiaceae,Jatrophihabitans,Otu1494
Otu828,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Glycomycetaceae,Haloglycomyces,Otu828
Otu275,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Terracoccus,Otu275
Otu2208,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Clavibacter,Otu2208
Otu1517,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Homoserinibacter,Otu1517
Otu1442,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Leifsonia,Otu1442
Otu365,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Pontimonas,Otu365
Otu195,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Rhodoluna,Otu195
Otu1426,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,Otu1426
Otu2012,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,Otu2012
Otu1328,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Micropruina,Otu1328
Otu235,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,Otu235
Otu1156,Bacteria,Actinobacteria,Actinobacteria,Solirubrobacterales,Conexibacteraceae,Conexibacter,Otu1156
Otu1959,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,Otu1959
Otu1133,Bacteria,Aquificae,Aquificae,Aquificales,Aquificales_incertae_sedis,Thermosulfidibacter,Otu1133
Otu1177,Bacteria,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Hydrogenothermus,Otu1177
Otu1246,Bacteria,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Hydrogenothermus,Otu1246
Otu1549,Bacteria,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Venenivibrio,Otu1549
Otu1960,Bacteria,Armatimonadetes,Armatimonadetes_gp5,Armatimonadetes_gp5,Armatimonadetes_gp5,Armatimonadetes_gp5,Otu1960
Otu1673,Bacteria,Bacteroidetes,Bacteroidetes_incertae_sedis,Marinifilum,Marinifilum,Marinifilum,Otu1673
Otu90,Bacteria,Bacteroidetes,Bacteroidetes_incertae_sedis,Marinifilum,Marinifilum,Marinifilum,Otu90
Otu2179,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Carboxylicivirga,Otu2179
Otu1552,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Saccharicrinis,Otu1552
Otu65,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Saccharicrinis,Otu65
Otu741,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Saccharicrinis,Otu741
Otu1082,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Draconibacterium,Otu1082
Otu1360,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Draconibacterium,Otu1360
Otu1439,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Draconibacterium,Otu1439
Otu1596,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Draconibacterium,Otu1596
Otu1941,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Draconibacterium,Otu1941
Otu2148,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Draconibacterium,Otu2148
Otu504,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Draconibacterium,Otu504
Otu512,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Draconibacterium,Otu512
Otu599,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Draconibacterium,Otu599
Otu1253,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Mariniphaga,Otu1253
Otu57,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Mariniphaga,Otu57
Otu184,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Prolixibacter,Otu184
Otu1967,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Prolixibacter,Otu1967
Otu367,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Prolixibacter,Otu367
Otu414,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Prolixibacter,Otu414
Otu442,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Prolixibacter,Otu442
Otu71,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Prolixibacter,Otu71
Otu761,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Prolixibacter,Otu761
Otu853,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Prolixibacter,Otu853
Otu2172,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Tangfeifania,Otu2172
Otu1904,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Catalimonadaceae,Catalinimonas,Otu1904
Otu1895,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Chryseolinea,Chryseolinea,Otu1895
Otu2033,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Chryseolinea,Chryseolinea,Otu2033
Otu628,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Chryseolinea,Chryseolinea,Otu628
Otu710,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Aquiflexum,Otu710
Otu1086,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Nitritalea,Otu1086
Otu1199,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Nitritalea,Otu1199
Otu1235,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Shivajiella,Otu1235
Otu1120,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Adhaeribacter,Otu1120
Otu1179,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Adhaeribacter,Otu1179
Otu2140,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Adhaeribacter,Otu2140
Otu107,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Ekhidna,Otu107
Otu1223,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Ekhidna,Otu1223
Otu1437,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Ekhidna,Otu1437
