,treatment,isolate,treat_num,growth_rate,names,id,population,isolate2,culture,strain,strain_26,fv
13,NB7,NB7,5,1.310703644,NB7 18 Xenic,xenic,PopC,NB7,xenic,NbQ-B7,C1,0.5092
14,NB7,NB7,5,1.49780853,NB7 18 Xenic,xenic,PopC,NB7,xenic,NbQ-B7,C1,0.5031
15,NB7,NB7,5,1.470415439,NB7 18 Xenic,xenic,PopC,NB7,xenic,NbQ-B7,C1,0.4929
16,NB7_AX,NB7,6,1.474217283,NB7 18 Axenic,axenic,PopC,NB7,axenic,NbQ-B7,C1,0.4952
17,NB7_AX,NB7,6,1.4840452,NB7 18 Axenic,axenic,PopC,NB7,axenic,NbQ-B7,C1,0.4772
18,NB7_AX,NB7,6,1.222047805,NB7 18 Axenic,axenic,PopC,NB7,axenic,NbQ-B7,C1,0.4678
25,RA5,RA5,9,0.8699009,RA5 18 Xenic,xenic,PopA,RA5,xenic,NbO-A5,A1,0.555
26,RA5,RA5,9,1.0825095,RA5 18 Xenic,xenic,PopA,RA5,xenic,NbO-A5,A1,0.5523
27,RA5,RA5,9,0.8512974,RA5 18 Xenic,xenic,PopA,RA5,xenic,NbO-A5,A1,0.5631
28,RA5_AX,RA5,10,0.9462571,RA5 18 Axenic,axenic,PopA,RA5,axenic,NbO-A5,A1,0.5474
29,RA5_AX,RA5,10,0.9609229,RA5 18 Axenic,axenic,PopA,RA5,axenic,NbO-A5,A1,0.5456
30,RA5_AX,RA5,10,1.0051456,RA5 18 Axenic,axenic,PopA,RA5,axenic,NbO-A5,A1,0.5421
31,RD4,RD4,11,1.065427748,RD4 18 Xenic,xenic,PopA,RD4,xenic,NbO-D4,A2,0.4247
32,RD4,RD4,11,0.946134755,RD4 18 Xenic,xenic,PopA,RD4,xenic,NbO-D4,A2,0.4164
33,RD4,RD4,11,0.967104883,RD4 18 Xenic,xenic,PopA,RD4,xenic,NbO-D4,A2,0.4349
34,RD4_AX,RD4,12,0.915719523,RD4 18 Axenic,axenic,PopA,RD4,axenic,NbO-D4,A2,0.462
35,RD4_AX,RD4,12,0.733672824,RD4 18 Axenic,axenic,PopA,RD4,axenic,NbO-D4,A2,0.4982
36,RD4_AX,RD4,12,0.94999069,RD4 18 Axenic,axenic,PopA,RD4,axenic,NbO-D4,A2,0.455
43,YE5,YE5,15,1.115189397,YE5 18 Xenic,xenic,PopB,YE5,xenic,NbP-YE5,B1,0.4284
44,YE5,YE5,15,1.13312713,YE5 18 Xenic,xenic,PopB,YE5,xenic,NbP-YE5,B1,0.4316
45,YE5,YE5,15,1.080555436,YE5 18 Xenic,xenic,PopB,YE5,xenic,NbP-YE5,B1,0.4207
46,YE5_AX,YE5,16,1.02140073,YE5 18 Axenic,axenic,PopB,YE5,axenic,NbP-YE5,B1,0.4733
47,YE5_AX,YE5,16,0.929118087,YE5 18 Axenic,axenic,PopB,YE5,axenic,NbP-YE5,B1,0.4822
48,YE5_AX,YE5,16,0.926220058,YE5 18 Axenic,axenic,PopB,YE5,axenic,NbP-YE5,B1,0.4698
