strain,treat,0,2,3,4,5
Bacteria,Bact,156331.26,402597.09,217992.1,344905.57,380585.45
Bacteria,Bact,172600.33,135388.86,235788.91,324150.11,307388.84
Bacteria,Bact,156331.26,143417.25,224146.17,294484.12,319561.54
Bacteria,Bact,172600.33,186643.02,277009.78,336164.76,388497.14
NbQ-B7,NB7,577338.53,560416.67,1387225.61,546340.5,
NbQ-B7,NB7,852533.79,548713.81,1124993.68,695249.1,537579.15
NbQ-B7,NB7,593330.5,553666.59,1106126.36,663300.52,414752.24
NbO-A5,RA5,199692.18,699066.54,1296221.93,975441.73,879551.77
NbO-A5,RA5,969782.32,751351.07,1159442.39,1204209.25,801751.56
NbO-A5,RA5,992505.13,694402.82,1290510.24,895201.46,726117.85
NbO-D4,RD4,916966.59,569152.02,1068866.5,760080.23,303029.84
NbO-D4,RD4,911522.74,556895.03,1127966.62,693651.38,
NbO-D4,RD4,196428.12,613498.61,1190663.53,732836.66,638600.28
NbP-YE5,YE5,803738.58,486481.99,963157.66,582357.82,530102.43
NbP-YE5,YE5,768342.69,482854.92,681990.75,504264.78,218731.67
NbP-YE5,YE5,1342018.08,562491.5,1007159.2,719338.97,618604.97
