#OTU ID	info	Treatment	Treatment2	Treatment3	Pop	Pop2	Pop3	extract	temp	col	col2	pch	culture	clonal	clonal2	definition	keep_2026	diatom_control	exp	temp_shift	used_inisolate	TR_Con	TR_Growth	Fm	FmDEC	FmD	Treatment_Multi	order
OMA1	Bact-A_18	Bact_T5	Bact_T5	Bact_T5	env	Bact_T5	Bact_T5	Filter	18	gray70	gray70	25	control	control	control	inoculum_T5	yes	control	a	y							Bact_T5_Filter	86
OMA2	Bact-B_18	Bact_T5	Bact_T5	Bact_T5	env	Bact_T5	Bact_T5	Filter	18	gray70	gray70	25	control	control	control	inoculum_T5	yes	control	a	y							Bact_T5_Filter	87
OMA3	Bact-C_18	Bact_T5	Bact_T5	Bact_T5	env	Bact_T5	Bact_T5	Filter	18	gray70	gray70	25	control	control	control	inoculum_T5	yes	control	a	y							Bact_T5_Filter	88
OMA4	Bact-D_18	Bact_T5	Bact_T5	Bact_T5	env	Bact_T5	Bact_T5	Filter	18	gray70	gray70	25	control	control	control	inoculum_T5	yes	control	a	y							Bact_T5_Filter	89
OMA5	NB4-A_18	NB4	NB4	NB4	CG3	CG3	PopC	Filter	18	forestgreen	forestgreen	21	Single	monoclonal	monoclonal	assemblage	no	diatom	a			22845.34489	1.239593296	0.5111	1070.9336	0.5328	NB4_Filter	1
OMA6	NB4-B_18	NB4	NB4	NB4	CG3	CG3	PopC	Filter	18	forestgreen	forestgreen	21	Single	monoclonal	monoclonal	assemblage	no	diatom	a				1.087239832	0.4993	1393.1132	0.5251	NB4_Filter	2
OMA7	NB4-C_18	NB4	NB4	NB4	CG3	CG3	PopC	Filter	18	forestgreen	forestgreen	21	Single	monoclonal	monoclonal	assemblage	no	diatom	a			20673.09314	1.356069865	0.4821	1083.0909	0.4968	NB4_Filter	3
OMA8	NB6-A_18	NB6	NB6	NB6	CG3	CG3	PopC	Filter	18	forestgreen	forestgreen	22	Single	monoclonal	monoclonal	assemblage	no	diatom	a			15780.09178	1.112324623	0.509	1104.2174	0.5337	NB6_Filter	4
OMA9	NB6-B_18	NB6	NB6	NB6	CG3	CG3	PopC	Filter	18	forestgreen	forestgreen	22	Single	monoclonal	monoclonal	assemblage	no	diatom	a			15155.53998	1.183608839	0.5045	1232.6833	0.5312	NB6_Filter	5
OMA10	NB6-C_18	NB6	NB6	NB6	CG3	CG3	PopC	Filter	18	forestgreen	forestgreen	22	Single	monoclonal	monoclonal	assemblage	no	diatom	a			15992.0101	0.92196192	0.5166	1085.2696	0.5407	NB6_Filter	6
OMA11	NB7-A_18	NB7	NB7	NB7	CG3	CG3	PopC	Filter	18	forestgreen	forestgreen	23	Single	monoclonal	monoclonal	assemblage	yes	diatom	a	y	y	25264.34667	1.310703644	0.5092	1229.6677	0.535	NB7_Filter	7
OMA12	NB7-B_18	NB7	NB7	NB7	CG3	CG3	PopC	Filter	18	forestgreen	forestgreen	23	Single	monoclonal	monoclonal	assemblage	yes	diatom	a	y	y	26216.46929	1.49780853	0.5031	1305.1186	0.5276	NB7_Filter	8
OMA13	NB7-C_18	NB7	NB7	NB7	CG3	CG3	PopC	Filter	18	forestgreen	forestgreen	23	Single	monoclonal	monoclonal	assemblage	yes	diatom	a	y	y	34929.60081	1.470415439	0.4929	1222.9449	0.5194	NB7_Filter	9
OMA14	RA4-A_18	RA4	RA4	RA4	CG1	CG1	PopA	Filter	18	navy	navy	21	Single	monoclonal	monoclonal	assemblage	no	diatom	a			23219.13638	1.223277194	0.5173	1334.4746	0.5459	RA4_Filter	19
OMA15	RA4-B_18	RA4	RA4	RA4	CG1	CG1	PopA	Filter	18	navy	navy	21	Single	monoclonal	monoclonal	assemblage	no	diatom	a			24200.2584	1.349554903	0.5206	1456.7229	0.5476	RA4_Filter	20
OMA16	RA4-C_18	RA4	RA4	RA4	CG1	CG1	PopA	Filter	18	navy	navy	21	Single	monoclonal	monoclonal	assemblage	no	diatom	a				1.15304597	0.5189	1304.84	0.541	RA4_Filter	21
OMA17	RA5-A_18	RA5	RA5	RA5	CG1	CG1	PopA	Filter	18	navy	navy	22	Single	monoclonal	monoclonal	assemblage	yes	diatom	a		y	27326.51919	0.8699009	0.555	991.79	0.5865	RA5_Filter	22
OMA18	RA5-B_18	RA5	RA5	RA5	CG1	CG1	PopA	Filter	18	navy	navy	22	Single	monoclonal	monoclonal	assemblage	yes	diatom	a		y	23303.22546	1.0825095	0.5523	1128.0161	0.579	RA5_Filter	23
OMA19	RA5-C_18	RA5	RA5	RA5	CG1	CG1	PopA	Filter	18	navy	navy	22	Single	monoclonal	monoclonal	assemblage	yes	diatom	a		y	25340.10548	0.8512974	0.5631	1066.6347	0.5924	RA5_Filter	24
OMA20	RD4-A_18	RD4	RD4	RD4	CG1	CG1	PopA	Filter	18	navy	navy	23	Single	monoclonal	monoclonal	assemblage	yes	diatom	a	y	y	27834.75764	1.065427748	0.4247	1171.1088	0.4434	RD4_Filter	31
OMA21	RD4-B_18	RD4	RD4	RD4	CG1	CG1	PopA	Filter	18	navy	navy	23	Single	monoclonal	monoclonal	assemblage	yes	diatom	a	y	y		0.946134755	0.4164	1274.2275	0.4387	RD4_Filter	32
OMA22	RD4-C_18	RD4	RD4	RD4	CG1	CG1	PopA	Filter	18	navy	navy	23	Single	monoclonal	monoclonal	assemblage	yes	diatom	a	y	y	30441.76389	0.967104883	0.4349	1152.8725	0.4622	RD4_Filter	33
OMA23	YC5-A_18	YC5	YC5	YC5	CG2	CG2	PopB	Filter	18	firebrick	firebrick	21	Single	monoclonal	monoclonal	assemblage	no	diatom	a			1621.036695	1.0769428	0.5446	1367.0458	0.5691	YC5_Filter	43
OMA24	YC5-B_18	YC5	YC5	YC5	CG2	CG2	PopB	Filter	18	firebrick	firebrick	21	Single	monoclonal	monoclonal	assemblage	no	diatom	a			2139.706347	0.803273	0.5703	885.7646	0.5973	YC5_Filter	44
OMA25	YC5-C_18	YC5	YC5	YC5	CG2	CG2	PopB	Filter	18	firebrick	firebrick	21	Single	monoclonal	monoclonal	assemblage	no	diatom	a			2214.456536	0.971387	0.5707	1332.1675	0.6032	YC5_Filter	45
OMA26	YE5-A_18	YE5	YE5	YE5	CG2	CG2	PopB	Filter	18	firebrick	firebrick	22	Single	monoclonal	monoclonal	assemblage	yes	diatom	a		y	32990.38934	1.115189397	0.4284	1302.8045	0.4464	YE5_Filter	46
OMA27	YE5-B_18	YE5	YE5	YE5	CG2	CG2	PopB	Filter	18	firebrick	firebrick	22	Single	monoclonal	monoclonal	assemblage	yes	diatom	a		y	34573.20094	1.13312713	0.4316	1279.6613	0.4521	YE5_Filter	47
