#OTU ID,OMA1,OMA11,OMA12,OMA13,OMA17,OMA18,OMA19,OMA2,OMA20,OMA21,OMA22,OMA26,OMA27,OMA28,OMA3,OMA4,OMA47,OMA48,WGA10,WGA12,WGA13,WGA15,WGA18,WGA19,WGA20,WGA23,WGA25,WGA26,WGA27,WGA29,WGA3,WGA32,WGA33,WGA34,WGA35,WGA39,WGA4,WGA40,WGA41,WGA42,WGA45,WGA46,WGA48,WGA5,WGA50,WGA53,WGA54,WGA55,WGA56,WGA7,,,,,,,,
Otu2,2082,3943,6822,2448,3154,1690,2069,1657,1.077e+04,5462,2366,4055,1623,3978,2229,2415,17,15,6260,3119,765,5,3329,1253,833,2,2173,115,5863,1.155e+04,1.506e+04,20,420,9806,239,6563,3122,878,84,6245,540,2763,1803,3719,4511,2490,797,2003,1,14,,,,,,,,
Otu3,2500,1456,1710,1199,5716,892,4912,1.022e+04,2292,1292,1221,1523,641,4245,8796,1.242e+04,4,1,4767,630,999,3,3534,1510,103,2,1819,168,5496,2175,6967,1215,2,4,727,814,3549,898,286,4.322e+04,2465,2729,7015,5703,450,3864,1,2012,2,26,,,,,,,,
Otu6,4892,872,689,400,166,66,438,3693,1990,803,867,771,399,1455,4361,4011,2.56e+04,6166,2895,245,3,0,279,431,636,0,130,38,1403,17,1468,4,77,217,2986,1735,59,73,7513,8880,1365,280,2241,380,1769,128,7649,1935,0,4,,,,,,,,
Otu4,95,86,127,7,753,227,703,1280,269,6096,1.627e+04,235,150,107,1309,1509,3,1,1.994e+04,864,2206,4,2.621e+04,1.006e+04,4093,8609,820,558,1.066e+04,1303,2.388e+04,0,1639,0,0,6,6962,313,1,2,965,1.067e+04,1,4291,1,6409,2417,4638,1,4,,,,,,,,
Otu5,1828,503,617,466,1063,173,638,3279,1252,597,243,785,289,1180,2134,5267,1,2,178,2630,1660,0,0,68,47,56,351,16,2192,246,4995,0,227,0,1,0,1591,108,0,134,183,1.05e+04,838,6397,3421,1086,2777,1301,5,57,,,,,,,,
Otu7,112,63,44,6,8086,937,9056,181,43,1504,2410,37,18,15,104,198,29,44,6240,1951,1684,3,176,0,1,5,3437,0,2918,1,4.303e+04,0,0,0,0,0,1.768e+04,0,0,0,0,0,0,8807,0,0,0,0,0,48,,,,,,,,
Otu13,50,5,7,1,210,168,224,48,828,1708,436,262,184,1869,54,38,16,11,1684,60,0,1,0,58,198,1,3475,469,4761,1,6816,1,0,1,1,0,2036,0,0,0,0,0,2,6704,8223,1,6956,4,0,0,,,,,,,,
Otu1,1,8517,8759,3.124e+04,21,33,44,1,6515,1.407e+04,4.589e+04,2.495e+04,3.792e+04,2.748e+04,3,1,9,269,4400,4,0,2,121,124,11,2,9904,1419,79,1,105,146,903,0,0,0,16,934,1,1,924,6,0,6,0,804,25,1150,0,0,,,,,,,,
Otu435,1111,1355,1149,349,1215,464,1659,915,1616,1491,684,964,424,1338,886,912,19,12,2675,830,427,2,2149,10,415,1910,22,28,920,1416,1088,403,107,208,442,0,1571,0,4,1669,1472,8,881,652,1819,1,19,19,4,1,,,,,,,,
Otu8,559,1646,2205,44,2873,1045,2425,593,489,257,96,162,41,1006,300,376,551,363,1044,586,328,0,596,256,63,0,305,154,82,2332,5782,42,120,0,6,689,2763,353,70,0,99,197,139,2463,883,537,283,761,0,12,,,,,,,,
Otu11,269,127,77,89,612,612,206,341,475,571,943,31,57,402,296,176,1,1,2268,3631,823,4,5606,0,303,1,16,23,558,0,5884,1,1,6278,1,0,110,839,2,1,0,0,0,402,0,0,0,0,0,1,,,,,,,,
Otu12,2372,551,318,53,28,9,9,2194,53,37,15,319,275,70,2674,2455,1,1,0,0,0,0,0,0,0,0,0,0,0,0,838,40,4357,302,1,3775,5,104,1027,0,2275,1,1085,2,0,2082,220,876,0,0,,,,,,,,
Otu14,423,929,487,20,179,83,303,1265,116,102,89,46,37,433,1675,854,2,2,538,0,1779,1,0,537,0,3,5411,3,1588,432,1760,9,158,2,0,0,47,340,5373,1,0,0,0,1318,1,0,0,0,0,11,,,,,,,,
Otu9,895,2806,2480,80,802,197,585,888,222,125,110,132,82,661,668,928,1037,710,87,15,99,0,97,526,2,0,45,19,10,1,77,0,21,14,3,1527,173,321,1.022e+04,1230,652,192,0,391,433,0,40,8,0,1,,,,,,,,
