,Treat,Diatom,Temp,Bact,FSC,SSC,RED,GREEN,strain,strain_2
10199,NbO-A5-AX,NbO-A5,18,Axenic,3.359276,3.508293,3.421775,3.658854,NbO-A5,A1
10200,NbO-A5-AX,NbO-A5,18,Axenic,3.365282,3.356148,3.629153,3.828796,NbO-A5,A1
10201,NbO-A5-AX,NbO-A5,18,Axenic,3.348782,3.324616,3.40974,3.922247,NbO-A5,A1
10202,NbO-A5-AX,NbO-A5,18,Axenic,3.247997,3.299442,3.43544,3.5817,NbO-A5,A1
10203,NbO-A5-AX,NbO-A5,18,Axenic,3.288872,3.749293,3.566596,3.915906,NbO-A5,A1
10204,NbO-A5-AX,NbO-A5,18,Axenic,3.242815,3.384722,3.590604,3.648006,NbO-A5,A1
10205,NbO-A5-AX,NbO-A5,18,Axenic,3.055648,3.230988,3.450932,3.565892,NbO-A5,A1
10206,NbO-A5-AX,NbO-A5,18,Axenic,3.334195,3.551845,3.619445,3.638118,NbO-A5,A1
10207,NbO-A5-AX,NbO-A5,18,Axenic,3.376287,3.41149,3.645004,3.661395,NbO-A5,A1
10208,NbO-A5-AX,NbO-A5,18,Axenic,3.234373,3.35113,3.372064,3.82509,NbO-A5,A1
10209,NbO-A5-AX,NbO-A5,18,Axenic,3.351026,3.427758,3.565474,3.634442,NbO-A5,A1
10210,NbO-A5-AX,NbO-A5,18,Axenic,3.340423,3.478936,3.569037,3.641533,NbO-A5,A1
10211,NbO-A5-AX,NbO-A5,18,Axenic,3.303627,3.291912,3.420143,3.583721,NbO-A5,A1
10212,NbO-A5-AX,NbO-A5,18,Axenic,3.397522,3.520389,3.470466,3.679986,NbO-A5,A1
10213,NbO-A5-AX,NbO-A5,18,Axenic,3.37226,3.284558,3.230099,3.638433,NbO-A5,A1
10214,NbO-A5-AX,NbO-A5,18,Axenic,3.195441,3.560688,3.473637,3.844137,NbO-A5,A1
10215,NbO-A5-AX,NbO-A5,18,Axenic,3.310026,3.397201,3.406341,3.798905,NbO-A5,A1
10216,NbO-A5-AX,NbO-A5,18,Axenic,3.480695,3.505247,3.613052,3.658198,NbO-A5,A1
10217,NbO-A5-AX,NbO-A5,18,Axenic,3.359963,3.480989,3.454506,3.60704,NbO-A5,A1
10218,NbO-A5-AX,NbO-A5,18,Axenic,3.40337,3.278776,3.484243,3.59367,NbO-A5,A1
10219,NbO-A5-AX,NbO-A5,18,Axenic,3.211717,3.524724,3.632156,3.620698,NbO-A5,A1
