,id,strain,bacteria,treatment,0,2,3,4,5
13,NB7-A,NbQ-B7,xenic,NB7,424.4707083,6599.328254,21654.18319,35283.54466,25264.34667
14,NB7-B,NbQ-B7,xenic,NB7,344.3818954,6983.744483,30797.1303,37974.7296,26216.46929
15,NB7-C,NbQ-B7,xenic,NB7,304.3374889,7876.801473,25068.9063,40810.25515,34929.60081
16,NB7-AX_A,NbQ-B7,axenic,NB7_AX,344.3818954,8752.541226,28692.84458,61377.67694,54533.73631
17,NB7-AX_B,NbQ-B7,axenic,NB7_AX,240.2664386,5518.120537,20617.2641,50948.50607,48081.92584
18,NB7-AX_C,NbQ-B7,axenic,NB7_AX,344.3818954,5013.559686,13465.61419,40546.63164,50911.20218
25,RA5-A,NbO-A5,xenic,RA5,376.4174205,2763.064266,7105.929815,12213.56261,27326.51919
26,RA5-B,NbO-A5,xenic,RA5,344.3819784,2610.89551,5021.307777,26154.83496,23303.22546
27,RA5-C,NbO-A5,xenic,RA5,400.4440644,2490.762481,6737.420053,12061.37716,25340.10548
28,RA5-AX-A,NbO-A5,axenic,RA5_AX,328.3641328,4404.884708,7927.890224,14460.14607,23792.75195
29,RA5-AX-B,NbO-A5,axenic,RA5_AX,296.3286077,3251.611027,,13837.82111,22035.21329
30,RA5-AX-C,NbO-A5,axenic,RA5_AX,280.3108676,3443.818954,8176.99543,15622.72147,22821.09422
31,RD4-A,NbO-D4,xenic,RD4,352.3907767,2923.241905,8612.965508,16314.1187,27834.75764
32,RD4-B,NbO-D4,xenic,RD4,424.4707083,3043.374889,7253.557134,19598.39816,
33,RD4-C,NbO-D4,xenic,RD4,512.5684024,3083.419296,9327.747312,24493.87794,30441.76389
34,RD4-AX-A,NbO-D4,axenic,RD4_AX,512.5684024,3483.86336,7995.168816,19117.45625,28465.60738
35,RD4-AX-B,NbO-D4,axenic,RD4_AX,480.5328773,2074.300254,4341.234874,9554.629915,14608.78548
36,RD4-AX-C,NbO-D4,axenic,RD4_AX,408.4529457,2450.717674,7061.048201,12573.97594,27793.36492
43,YE5-A,NbP-YE5,xenic,YE5,400.4440644,3099.437058,11363.27888,26856.16014,32990.38934
44,YE5-B,NbP-YE5,xenic,YE5,344.3818954,3195.543634,10312.71205,25461.11505,34573.20094
45,YE5-C,NbP-YE5,xenic,YE5,536.5950463,4252.716306,13724.11817,33113.60605,42021.67253
46,YE5-AX-A,NbP-YE5,axenic,YE5_AX,344.3818954,3467.848662,7375.753845,18901.86393,32837.37914
47,YE5-AX-B,NbP-YE5,axenic,YE5_AX,632.7016218,3307.667972,10273.80981,19951.96668,30423.31289
48,YE5-AX-C,NbP-YE5,axenic,YE5_AX,504.5595211,3139.481465,8122.11598,20250.98582,32213.06497
