id,strain,bacteria,treatment,day,counts
NB7-A,NbQ-B7,xenic,NB7,0,424.4707083
NB7-B,NbQ-B7,xenic,NB7,0,344.3818954
NB7-C,NbQ-B7,xenic,NB7,0,304.3374889
NB7-AX_A,NbQ-B7,axenic,NB7_AX,0,344.3818954
NB7-AX_B,NbQ-B7,axenic,NB7_AX,0,240.2664386
NB7-AX_C,NbQ-B7,axenic,NB7_AX,0,344.3818954
RA5-A,NbO-A5,xenic,RA5,0,376.4174205
RA5-B,NbO-A5,xenic,RA5,0,344.3819784
RA5-C,NbO-A5,xenic,RA5,0,400.4440644
RA5-AX-A,NbO-A5,axenic,RA5_AX,0,328.3641328
RA5-AX-B,NbO-A5,axenic,RA5_AX,0,296.3286077
RA5-AX-C,NbO-A5,axenic,RA5_AX,0,280.3108676
RD4-A,NbO-D4,xenic,RD4,0,352.3907767
RD4-B,NbO-D4,xenic,RD4,0,424.4707083
RD4-C,NbO-D4,xenic,RD4,0,512.5684024
RD4-AX-A,NbO-D4,axenic,RD4_AX,0,512.5684024
RD4-AX-B,NbO-D4,axenic,RD4_AX,0,480.5328773
RD4-AX-C,NbO-D4,axenic,RD4_AX,0,408.4529457
YE5-A,NbP-YE5,xenic,YE5,0,400.4440644
YE5-B,NbP-YE5,xenic,YE5,0,344.3818954
YE5-C,NbP-YE5,xenic,YE5,0,536.5950463
YE5-AX-A,NbP-YE5,axenic,YE5_AX,0,344.3818954
YE5-AX-B,NbP-YE5,axenic,YE5_AX,0,632.7016218
YE5-AX-C,NbP-YE5,axenic,YE5_AX,0,504.5595211
NB7-A,NbQ-B7,xenic,NB7,2,6599.328254
NB7-B,NbQ-B7,xenic,NB7,2,6983.744483
NB7-C,NbQ-B7,xenic,NB7,2,7876.801473
NB7-AX_A,NbQ-B7,axenic,NB7_AX,2,8752.541226
NB7-AX_B,NbQ-B7,axenic,NB7_AX,2,5518.120537
NB7-AX_C,NbQ-B7,axenic,NB7_AX,2,5013.559686
RA5-A,NbO-A5,xenic,RA5,2,2763.064266
RA5-B,NbO-A5,xenic,RA5,2,2610.89551
RA5-C,NbO-A5,xenic,RA5,2,2490.762481
RA5-AX-A,NbO-A5,axenic,RA5_AX,2,4404.884708
RA5-AX-B,NbO-A5,axenic,RA5_AX,2,3251.611027
RA5-AX-C,NbO-A5,axenic,RA5_AX,2,3443.818954
RD4-A,NbO-D4,xenic,RD4,2,2923.241905
RD4-B,NbO-D4,xenic,RD4,2,3043.374889
RD4-C,NbO-D4,xenic,RD4,2,3083.419296
RD4-AX-A,NbO-D4,axenic,RD4_AX,2,3483.86336
RD4-AX-B,NbO-D4,axenic,RD4_AX,2,2074.300254
RD4-AX-C,NbO-D4,axenic,RD4_AX,2,2450.717674
YE5-A,NbP-YE5,xenic,YE5,2,3099.437058
YE5-B,NbP-YE5,xenic,YE5,2,3195.543634
YE5-C,NbP-YE5,xenic,YE5,2,4252.716306
YE5-AX-A,NbP-YE5,axenic,YE5_AX,2,3467.848662
YE5-AX-B,NbP-YE5,axenic,YE5_AX,2,3307.667972
YE5-AX-C,NbP-YE5,axenic,YE5_AX,2,3139.481465
NB7-A,NbQ-B7,xenic,NB7,3,21654.18319
NB7-B,NbQ-B7,xenic,NB7,3,30797.1303
NB7-C,NbQ-B7,xenic,NB7,3,25068.9063
NB7-AX_A,NbQ-B7,axenic,NB7_AX,3,28692.84458
NB7-AX_B,NbQ-B7,axenic,NB7_AX,3,20617.2641
NB7-AX_C,NbQ-B7,axenic,NB7_AX,3,13465.61419
RA5-A,NbO-A5,xenic,RA5,3,7105.929815
RA5-B,NbO-A5,xenic,RA5,3,5021.307777
RA5-C,NbO-A5,xenic,RA5,3,6737.420053
RA5-AX-A,NbO-A5,axenic,RA5_AX,3,7927.890224
RA5-AX-B,NbO-A5,axenic,RA5_AX,3,
RA5-AX-C,NbO-A5,axenic,RA5_AX,3,8176.99543
RD4-A,NbO-D4,xenic,RD4,3,8612.965508
RD4-B,NbO-D4,xenic,RD4,3,7253.557134
RD4-C,NbO-D4,xenic,RD4,3,9327.747312
RD4-AX-A,NbO-D4,axenic,RD4_AX,3,7995.168816
RD4-AX-B,NbO-D4,axenic,RD4_AX,3,4341.234874
RD4-AX-C,NbO-D4,axenic,RD4_AX,3,7061.048201
YE5-A,NbP-YE5,xenic,YE5,3,11363.27888
YE5-B,NbP-YE5,xenic,YE5,3,10312.71205
YE5-C,NbP-YE5,xenic,YE5,3,13724.11817
YE5-AX-A,NbP-YE5,axenic,YE5_AX,3,7375.753845
YE5-AX-B,NbP-YE5,axenic,YE5_AX,3,10273.80981
YE5-AX-C,NbP-YE5,axenic,YE5_AX,3,8122.11598
NB7-A,NbQ-B7,xenic,NB7,4,35283.54466
NB7-B,NbQ-B7,xenic,NB7,4,37974.7296
NB7-C,NbQ-B7,xenic,NB7,4,40810.25515
NB7-AX_A,NbQ-B7,axenic,NB7_AX,4,61377.67694
NB7-AX_B,NbQ-B7,axenic,NB7_AX,4,50948.50607
NB7-AX_C,NbQ-B7,axenic,NB7_AX,4,40546.63164
RA5-A,NbO-A5,xenic,RA5,4,12213.56261
RA5-B,NbO-A5,xenic,RA5,4,26154.83496
RA5-C,NbO-A5,xenic,RA5,4,12061.37716
RA5-AX-A,NbO-A5,axenic,RA5_AX,4,14460.14607
RA5-AX-B,NbO-A5,axenic,RA5_AX,4,13837.82111
RA5-AX-C,NbO-A5,axenic,RA5_AX,4,15622.72147
RD4-A,NbO-D4,xenic,RD4,4,16314.1187
RD4-B,NbO-D4,xenic,RD4,4,19598.39816
RD4-C,NbO-D4,xenic,RD4,4,24493.87794
RD4-AX-A,NbO-D4,axenic,RD4_AX,4,19117.45625
RD4-AX-B,NbO-D4,axenic,RD4_AX,4,9554.629915
RD4-AX-C,NbO-D4,axenic,RD4_AX,4,12573.97594
YE5-A,NbP-YE5,xenic,YE5,4,26856.16014
YE5-B,NbP-YE5,xenic,YE5,4,25461.11505
YE5-C,NbP-YE5,xenic,YE5,4,33113.60605
YE5-AX-A,NbP-YE5,axenic,YE5_AX,4,18901.86393
YE5-AX-B,NbP-YE5,axenic,YE5_AX,4,19951.96668
YE5-AX-C,NbP-YE5,axenic,YE5_AX,4,20250.98582
NB7-A,NbQ-B7,xenic,NB7,5,25264.34667
NB7-B,NbQ-B7,xenic,NB7,5,26216.46929
NB7-C,NbQ-B7,xenic,NB7,5,34929.60081
NB7-AX_A,NbQ-B7,axenic,NB7_AX,5,54533.73631
NB7-AX_B,NbQ-B7,axenic,NB7_AX,5,48081.92584
NB7-AX_C,NbQ-B7,axenic,NB7_AX,5,50911.20218
RA5-A,NbO-A5,xenic,RA5,5,27326.51919
RA5-B,NbO-A5,xenic,RA5,5,23303.22546
RA5-C,NbO-A5,xenic,RA5,5,25340.10548
RA5-AX-A,NbO-A5,axenic,RA5_AX,5,23792.75195
RA5-AX-B,NbO-A5,axenic,RA5_AX,5,22035.21329
RA5-AX-C,NbO-A5,axenic,RA5_AX,5,22821.09422
RD4-A,NbO-D4,xenic,RD4,5,27834.75764
RD4-B,NbO-D4,xenic,RD4,5,
RD4-C,NbO-D4,xenic,RD4,5,30441.76389
RD4-AX-A,NbO-D4,axenic,RD4_AX,5,28465.60738
RD4-AX-B,NbO-D4,axenic,RD4_AX,5,14608.78548
RD4-AX-C,NbO-D4,axenic,RD4_AX,5,27793.36492
YE5-A,NbP-YE5,xenic,YE5,5,32990.38934
YE5-B,NbP-YE5,xenic,YE5,5,34573.20094
YE5-C,NbP-YE5,xenic,YE5,5,42021.67253
YE5-AX-A,NbP-YE5,axenic,YE5_AX,5,32837.37914
YE5-AX-B,NbP-YE5,axenic,YE5_AX,5,30423.31289
