"","Kingdom","phyla","class","family","genus","species","strain"
"Otu6","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA,NA
"Otu1813","Bacteria","Verrucomicrobia","Opitutae","Opitutales",NA,NA,NA
"Otu1484","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales",NA,NA,NA
"Otu387","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales",NA,NA,NA
"Otu234","Bacteria","Proteobacteria","Alphaproteobacteria","Kordiimonadales",NA,NA,NA
"Otu1757","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_incertae_sedis",NA,NA,NA
"Otu68","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales",NA,NA,NA
"Otu718","Bacteria","Proteobacteria","Alphaproteobacteria","Parvularculales",NA,NA,NA
"Otu160","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"Otu1203","Bacteria","Proteobacteria","Alphaproteobacteria","Sneathiellales",NA,NA,NA
"Otu694","Bacteria","Proteobacteria","Alphaproteobacteria","Kiloniellales",NA,NA,NA
"Otu692","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales",NA,NA,NA
"Otu49","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"Otu562","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales",NA,NA,NA
"Otu985","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales",NA,NA,NA
"Otu2229","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales",NA,NA,NA
"Otu488","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"Otu941","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales",NA,NA,NA
"Otu907","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales",NA,NA,NA
"Otu940","Bacteria","Proteobacteria","Deltaproteobacteria","Deltaproteobacteria_incertae_sedis",NA,NA,NA
"Otu919","Bacteria","Proteobacteria","Oligoflexia","Oligoflexales",NA,NA,NA
"Otu967","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales",NA,NA,NA
"Otu95","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales",NA,NA,NA
"Otu83","Bacteria","Bacteroidetes","Cytophagia","Cytophagales",NA,NA,NA
"Otu2","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales",NA,NA,NA
"Otu57","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"Otu90","Bacteria","Bacteroidetes","Bacteroidetes_incertae_sedis","Marinifilum",NA,NA,NA
"Otu1060","Bacteria","Ignavibacteriae","Ignavibacteria","Ignavibacteriales",NA,NA,NA
"Otu725","Bacteria","Synergistetes","Synergistia","Synergistales",NA,NA,NA
"Otu1177","Bacteria","Aquificae","Aquificae","Aquificales",NA,NA,NA
"Otu1156","Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales",NA,NA,NA
"Otu253","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
