"","WGA10","WGA12","WGA13","WGA18","WGA19","WGA20","WGA25","WGA26","WGA27","WGA3","WGA32","WGA33","WGA34","WGA39","WGA4","WGA40","WGA41","WGA45","WGA46","WGA48","WGA5","WGA53","WGA54","WGA55"
"Otu6",2895,245,3,279,431,636,130,38,1403,1481,6,77,1587,1737,770,73,9899,1968,288,2241,426,128,7799,1935
"Otu1813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu1484",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu387",0,0,9,0,0,0,0,0,0,13,0,0,16,0,0,0,0,0,0,0,0,0,0,0
"Otu234",0,0,42,0,0,0,0,0,0,0,0,0,0,61,52,0,0,0,0,0,3,0,0,0
"Otu1757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu68",808,193,427,0,0,0,2,1,1,98,123,0,1,2321,100,0,1,0,868,0,453,1081,0,0
"Otu718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Otu160",0,0,0,1,4,1,0,0,0,24,0,0,101,9,2,1,0,0,0,4,0,0,85,1
"Otu1203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu694",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu692",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu49",326,28,41,24,82,399,314,8,335,879,0,0,74,8,952,0,37,230,9,23,309,126,95,992
"Otu562",0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,3,7,0,0,0,0,0,0
"Otu985",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu2229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu488",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0
"Otu941",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu907",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu940",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu919",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu967",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu95",1,0,11,12,0,0,0,4,76,217,0,0,0,0,304,0,18,0,0,448,96,0,0,0
"Otu83",1283,1221,1087,0,0,70,0,6,0,33,0,0,0,0,52,1506,0,0,0,0,3671,5,0,0
"Otu2",17550,8176,5305,11449,4579,2421,4192,405,9442,39831,453,536,16577,10543,18752,2757,161,8872,6351,8205,13277,2881,3720,2467
"Otu57",0,22,0,10,0,108,0,17,9,1276,0,0,0,0,276,0,0,0,1,230,79,159,0,0
"Otu90",0,181,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,889,0,8,0,0,0
"Otu1060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu725",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu1177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu1156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu253",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0
"Otu26",0,0,0,421,88,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,36,0,0,0
"Otu195",0,0,0,0,3,0,1,1,0,9,0,0,0,0,0,0,13,0,1,0,13,0,0,0
"Otu431",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu1166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu37",10,71,294,0,0,0,0,0,0,203,0,1,1,9776,2,0,5,0,0,0,0,0,0,0
"Otu496",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu961",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu1831",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu196",0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,508,0,0,0,0,0
