"","Kingdom","phyla","class","family","genus","species","unique"
"Ferroglobus","Archaea","Euryarchaeota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","Ferroglobus","Ferroglobus"
"Methanomassiliicoccus","Archaea","Euryarchaeota","Thermoplasmata","Methanomassiliicoccales","Methanomassiliicoccaceae","Methanomassiliicoccus","Methanomassiliicoccus"
"Thermogymnomonas","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Thermoplasmatales_incertae_sedis","Thermogymnomonas","Thermogymnomonas"
"Pacearchaeota Incertae Sedis AR13","Archaea","Pacearchaeota","Pacearchaeota Incertae Sedis AR13","Pacearchaeota Incertae Sedis AR13","Pacearchaeota Incertae Sedis AR13","Pacearchaeota Incertae Sedis AR13","Pacearchaeota Incertae Sedis AR13"
"Nitrosopumilus","Archaea","Thaumarchaeota","Nitrosopumilales","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus"
"Woesearchaeota Incertae Sedis AR15","Archaea","Woesearchaeota","Woesearchaeota Incertae Sedis AR15","Woesearchaeota Incertae Sedis AR15","Woesearchaeota Incertae Sedis AR15","Woesearchaeota Incertae Sedis AR15","Woesearchaeota Incertae Sedis AR15"
"Gp10","Bacteria","Acidobacteria","Acidobacteria_Gp10","Gp10","Gp10","Gp10","Gp10"
"Gp22","Bacteria","Acidobacteria","Acidobacteria_Gp22","Gp22","Gp22","Gp22","Gp22"
"Thermoanaerobaculum","Bacteria","Acidobacteria","Acidobacteria_Gp23","Thermoanaerobaculum","Thermoanaerobaculum","Thermoanaerobaculum","Thermoanaerobaculum"
"Bryobacter","Bacteria","Acidobacteria","Acidobacteria_Gp3","Bryobacter","Bryobacter","Bryobacter","Bryobacter"
"Paludibaculum","Bacteria","Acidobacteria","Acidobacteria_Gp3","Paludibaculum","Paludibaculum","Paludibaculum","Paludibaculum"
"Acanthopleuribacter","Bacteria","Acidobacteria","Holophagae","Acanthopleuribacterales","Acanthopleuribacteraceae","Acanthopleuribacter","Acanthopleuribacter"
"Ferrimicrobium","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Acidimicrobiaceae","Ferrimicrobium","Ferrimicrobium"
"Ilumatobacter","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Acidimicrobiaceae","Ilumatobacter","Ilumatobacter"
"Aciditerrimonas","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Acidimicrobineae_incertae_sedis","Aciditerrimonas","Aciditerrimonas"
"Aquihabitans","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Iamiaceae","Aquihabitans","Aquihabitans"
"Iamia","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Iamiaceae","Iamia","Iamia"
"Acidothermus","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Acidothermaceae","Acidothermus","Acidothermus"
"Oceanitalea","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Bogoriellaceae","Oceanitalea","Oceanitalea"
"Sediminihabitans","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Cellulomonadaceae","Sediminihabitans","Sediminihabitans"
"Corynebacterium","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium","Corynebacterium"
"Haloglycomyces","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Glycomycetaceae","Haloglycomyces","Haloglycomyces"
"Terracoccus","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae","Terracoccus","Terracoccus"
"Clavibacter","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Clavibacter","Clavibacter"
"Leifsonia","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Leifsonia","Leifsonia"
"Pontimonas","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Pontimonas","Pontimonas"
"Rhodoluna","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Rhodoluna","Rhodoluna"
"Micropruina","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Micropruina","Micropruina"
"Propionibacterium","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Propionibacterium","Propionibacterium"
"Conexibacter","Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Conexibacteraceae","Conexibacter","Conexibacter"
"Thermosulfidibacter","Bacteria","Aquificae","Aquificae","Aquificales","Aquificales_incertae_sedis","Thermosulfidibacter","Thermosulfidibacter"
"Hydrogenothermus","Bacteria","Aquificae","Aquificae","Aquificales","Hydrogenothermaceae","Hydrogenothermus","Hydrogenothermus"
"Venenivibrio","Bacteria","Aquificae","Aquificae","Aquificales","Hydrogenothermaceae","Venenivibrio","Venenivibrio"
"Marinifilum","Bacteria","Bacteroidetes","Bacteroidetes_incertae_sedis","Marinifilum","Marinifilum","Marinifilum","Marinifilum"
"Saccharicrinis","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinilabiliaceae","Saccharicrinis","Saccharicrinis"
"Draconibacterium","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","Draconibacterium","Draconibacterium"
"Mariniphaga","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","Mariniphaga","Mariniphaga"
"Prolixibacter","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","Prolixibacter","Prolixibacter"
"Tangfeifania","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","Tangfeifania","Tangfeifania"
"Catalinimonas","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Catalimonadaceae","Catalinimonas","Catalinimonas"
"Chryseolinea","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Chryseolinea","Chryseolinea","Chryseolinea"
"Aquiflexum","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Aquiflexum","Aquiflexum"
"Nitritalea","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Nitritalea","Nitritalea"
"Shivajiella","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Shivajiella","Shivajiella"
"Adhaeribacter","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Adhaeribacter","Adhaeribacter"
"Ekhidna","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Ekhidna","Ekhidna"
"Fluviimonas","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Fluviimonas","Fluviimonas"
"Microscilla","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Microscilla","Microscilla"
"Nibribacter","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Nibribacter","Nibribacter"
"Pseudarcicella","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Pseudarcicella","Pseudarcicella"
"Rhodonellum","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Rhodonellum","Rhodonellum"
"Sporocytophaga","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Sporocytophaga","Sporocytophaga"
"Aureibacter","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Aureibacter","Aureibacter"
"Cesiribacter","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Cesiribacter","Cesiribacter"
"Fabibacter","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Fabibacter","Fabibacter"
"Flammeovirga","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Flammeovirga","Flammeovirga"
"Fulvivirga","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Fulvivirga","Fulvivirga"
"Imperialibacter","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Imperialibacter","Imperialibacter"
"Marinoscillum","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Marinoscillum","Marinoscillum"
"Nafulsella","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Nafulsella","Nafulsella"
"Rapidithrix","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Rapidithrix","Rapidithrix"
"Reichenbachiella","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Reichenbachiella","Reichenbachiella"
"Roseivirga","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Roseivirga","Roseivirga"
"Mooreia","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Mooreiaceae","Mooreia","Mooreia"
"Brumimicrobium","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Brumimicrobium","Brumimicrobium"
"Crocinitomix","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Crocinitomix","Crocinitomix"
"Cryomorpha","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Cryomorpha","Cryomorpha"
"Fluviicola","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Fluviicola","Fluviicola"
"Lishizhenia","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Lishizhenia","Lishizhenia"
"Luteibaculum","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Luteibaculum","Luteibaculum"
"Owenweeksia","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Owenweeksia","Owenweeksia"
"Phaeocystidibacter","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Phaeocystidibacter","Phaeocystidibacter"
"Salinirepens","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Salinirepens","Salinirepens"
"Wandonia","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Wandonia","Wandonia"
